Patente|Pedimento|SeccionAduanera|FechaFacturacion|NumeroFactura|TerminoFacturacion|MonedaFacturacion|ValorDolares|ValorMonedaExtranjera|PaisFacturacion|EntidadFedFacturacion|IndentFiscalProveedor|ProveedorMercancia|CalleProveedor|NumInteriorProveedor|NumExteriorProveedor|CpProveedor|MunicipioProveedor|FechaPagoReal
3992|5006748|510|2025-08-14|COVE257SAHSZ3|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 15:07:04|
3992|5007705|510|2025-08-18|COVE257SIXN82|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-21 16:17:01|
3992|5007463|510|2025-08-25|COVE257SJ55G6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-21 16:17:02|
3992|5007268|510|2025-08-20|COVE257S71V17|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-15 15:33:04|
3992|5007402|510|2025-08-26|COVE257SUIF98|FOB| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-28 12:19:02|
3992|5007182|510|2025-08-16|COVE257RJIVU3|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-03 10:13:01|
3992|5007714|510|2025-09-16|COVE257SJGU23|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-21 16:18:04|
3992|5007251|510|2025-08-18|COVE257SATDN6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 15:07:05|
3992|5006664|510|2025-08-22|COVE257RZQY83|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-10 16:27:03|
3992|5007873|510|2025-09-29|COVE257T0TB18|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-29 16:02:01|
3992|5007295|510|2025-08-01|COVE257S0CMA2|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-13 10:37:01|
3992|5007420|510|2025-08-29|COVE257SBB1C4|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 18:31:04|
3992|5007792|510|2025-08-29|COVE257SVBJ82|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-27 17:18:01|
3992|5006781|510|2025-08-25|COVE257SBOF35|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 18:38:02|
3992|5006780|510|2025-08-25|COVE257SBOF35|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 18:38:01|
3992|5007236|510|2025-08-13|COVE257S5CLE1|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-15 15:12:01|
3992|5007754|510|2025-09-16|COVE257SN6FO6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-22 17:10:02|
3992|5007428|510|2025-08-18|COVE257SBU8M6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 20:49:01|
3992|5007689|510|2025-09-08|COVE257SVEE17|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-27 17:43:01|
3992|5007214|510|2025-08-20|COVE257SAWTI5|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 19:47:01|
3992|5007865|510|2025-09-08|COVE257T0NSJ6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-29 15:08:03|
3992|5007127|510|2025-08-18|COVE257RKM1M6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-03 14:21:02|
3992|5007367|510|2025-08-29|COVE257SBGI82|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 19:47:09|
3992|5007377|510|2025-09-02|COVE257SBTBB5|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 21:42:02|
3992|5006993|510|2025-08-18|COVE257RHPKA6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-02 16:34:05|
3992|5007834|510|2025-08-28|COVE257SVG2F3|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-27 19:03:02|
3992|5007698|510|2025-09-12|COVE257SJGFY3|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-21 15:49:00|
3992|5007418|510|2025-08-29|COVE257SBB1C4|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 18:31:03|
3992|5007366|510|2025-08-29|COVE257SBGI82|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 19:47:09|
3992|5007278|510|2025-08-14|COVE257S5WGX3|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-15 15:27:01|
3992|5007267|510|2025-08-20|COVE257S71V17|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-15 15:33:03|
3992|5007392|510|2025-08-28|COVE257SBOFQ8|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 19:48:03|
3992|5007257|510|2025-08-22|COVE257S5I1O5|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-14 14:47:03|
3992|5007733|510|2025-09-09|COVE257SVW8X1|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-27 19:11:02|
3992|5007740|510|2025-09-16|COVE257STP5G6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-27 13:11:03|
3992|5007219|510|2025-08-20|COVE257SAWTI5|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 19:47:04|
3992|5007899|510|2025-09-08|COVE257T16GL2|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-29 20:28:01|
3992|5007290|510|2025-08-25|COVE257RZA9I1|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-10 17:49:01|
3992|5007221|510|2025-09-02|COVE257RZJKY4|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-13 11:11:02|
3992|5007789|510|2025-08-29|COVE257SVBJ82|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-27 17:18:03|
3992|5007210|510|2025-08-06|COVE257RXHJB4|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-09 18:14:02|
3992|5007862|510|2025-09-08|COVE257T0NRW2|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-29 15:08:01|
3992|5007255|510|2025-08-22|COVE257S5I1O5|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-14 14:47:02|
3992|5007269|510|2025-08-20|COVE257S71V17|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-15 15:33:04|
3992|5007424|510|2025-08-29|COVE257SBB1C4|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 18:31:05|
3992|5007346|510|2025-09-08|COVE257SCEUZ4|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-17 12:02:01|
3992|5007711|510|2025-09-16|COVE257SJGU23|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-21 16:18:03|
3992|5007473|510|2025-09-16|COVE257SJQEZ4|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-21 16:18:08|
3992|5007213|510|2025-08-20|COVE257SAWTI5|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 19:47:01|
3992|5007100|510|2025-08-18|COVE257RHO0M5|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-03 12:19:01|
3992|5007701|510|2025-09-12|COVE257SJGFY3|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-21 15:50:01|
3992|5007720|510|2025-09-16|COVE257SJGU23|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-21 16:18:07|
3992|5007831|510|2025-08-28|COVE257SVG2F3|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-27 19:03:03|
3992|5006939|510|2025-07-28|COVE257RZGPK3|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-10 18:26:01|
3992|5007690|510|2025-09-08|COVE257SVEE17|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-27 17:43:02|
3992|5007408|510|2025-09-09|COVE257SBTY74|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 19:48:06|
3992|5006872|510|2025-08-22|COVE257RZHFD3|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-10 17:49:05|
3992|5007779|510|2025-09-16|COVE257SVG4J6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-27 18:16:01|
3992|5007284|510|2025-08-10|COVE257S0AXG4|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-10 18:39:01|
3992|5007448|510|2025-09-09|COVE257SCUU07|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-17 13:31:06|
3992|5007208|510|2025-08-06|COVE257RXHJB4|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-09 18:14:01|
3992|5007005|510|2025-09-01|COVE257SMLDR8|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-22 15:24:02|
3992|5006623|510|2025-08-04|COVE257S01OZ2|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-10 17:49:02|
3992|5007021|510|2025-08-18|COVE257RIERN6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-02 17:09:02|
3992|5007259|510|2025-08-22|COVE257S5I1O5|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-14 14:48:02|
3992|5006675|510|2025-08-22|COVE257RZQY83|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-10 16:27:02|
3992|5007474|510|2025-09-16|COVE257SJQEZ4|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-21 16:18:08|
3992|5007130|510|2025-08-18|COVE257RKM1M6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-03 14:21:04|
3992|5007449|510|2025-08-26|COVE257SUNXY8|FOB| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-28 12:19:03|
3992|5007212|510|2025-08-20|COVE257SAWTI5|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 19:47:00|
3992|5007752|510|2025-09-16|COVE257SN58X1|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-22 17:10:01|
3992|5007265|510|2025-08-20|COVE257SB7HT2|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 19:47:06|
3992|5007229|510|2025-08-18|COVE257SAHUB4|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 15:07:03|
3992|5006733|510|2025-08-25|COVE257SW8457|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-28 14:09:01|
3992|5006994|510|2025-08-18|COVE257RHPKA6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-02 16:34:05|
3992|5007137|510|2025-08-21|COVE257RHZQQ1|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-02 15:12:03|
3992|5007154|510|2025-07-31|COVE257RHZ672|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-02 15:10:02|
3992|5007417|510|2025-08-29|COVE257SBB1C4|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 18:31:02|
3992|5006667|510|2025-08-22|COVE257RZQY83|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-10 16:27:01|
3992|5007019|510|2025-08-18|COVE257RIERN6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-02 17:09:01|
3992|5007734|510|2025-09-16|COVE257STP5G6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-27 13:10:02|
3992|5007114|510|2025-08-25|COVE257RZJWB1|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-10 16:21:04|
3992|5007126|510|2025-08-27|COVE257RHOK05|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-03 12:58:00|
3992|5007142|510|2025-08-21|COVE257RI0BP4|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-02 15:12:04|
3992|5007863|510|2025-09-08|COVE257T0NRW2|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-29 15:08:02|
3992|5007391|510|2025-08-28|COVE257SBOFQ8|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 19:48:03|
3992|5007390|510|2025-08-28|COVE257SBOFQ8|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 19:48:02|
3992|5007349|510|2025-09-08|COVE257SCEUZ4|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-17 12:02:04|
3992|5007004|510|2025-09-01|COVE257SMLDR8|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-22 15:24:02|
3992|5007842|510|2025-08-30|COVE257T5VWV2|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-31 19:49:00|
3992|5007175|510|2025-09-07|COVE257RW6H95|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-09 13:34:02|
3992|5007155|510|2025-07-31|COVE257RHZ672|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-02 15:10:02|
3992|5006686|510|2025-08-22|COVE257RZQY83|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-13 14:44:01|
3992|5007718|510|2025-09-16|COVE257SJGU23|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-21 16:18:06|
3992|5007182|510|2025-08-05|COVE257RJIVP4|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-03 10:13:01|
3992|5007294|510|2025-08-01|COVE257S0CMA2|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-10 19:18:01|
3992|5007388|510|2025-08-28|COVE257SBOFQ8|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 19:48:02|
3992|5007121|510|2025-08-27|COVE257RHOK05|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-02 16:04:04|
3992|5007112|510|2025-08-25|COVE257RZJWB1|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-10 16:21:03|
3992|5007151|510|2025-07-31|COVE257RHZ672|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-02 15:10:00|
3992|5007877|510|2025-09-29|COVE257T0VHH3|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-29 16:02:03|
3992|5007339|510|2025-09-11|COVE257S33SP8|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-14 12:50:01|
3992|5007414|510|2025-08-18|COVE257SBU8M6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 20:49:00|
3992|5007285|510|2025-08-10|COVE257S0AXG4|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-13 10:37:01|
3992|5007837|510|2025-08-28|COVE257SVG2F3|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-27 19:03:00|
3992|5007480|510|2025-08-28|COVE257SWWQL4|FOB| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-28 12:19:06|
3992|5006986|510|2025-08-18|COVE257RHPKA6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-02 16:34:02|
3992|5007113|510|2025-08-20|COVE257RUJLW8|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-08 15:34:01|
3992|5006626|510|2025-08-04|COVE257S01OZ2|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-10 17:49:04|
3992|5007389|510|2025-08-28|COVE257SBOFQ8|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 20:20:01|
3992|5007098|510|2025-08-18|COVE257RHNCA4|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-03 12:03:01|
3992|5007001|510|2025-08-07|COVE257RWDEQ5|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-09 15:58:02|
3992|5007466|510|2025-08-25|COVE257SJ8794|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-21 16:17:04|
3992|5007150|510|2025-07-31|COVE257RHZ672|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-02 15:23:01|
3992|5007099|510|2025-08-18|COVE257RHO0M5|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-03 12:19:01|
3992|5007022|510|2025-08-18|COVE257RIERN6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-02 17:09:03|
3992|5007296|510|2025-09-01|COVE257SXPCO1|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-28 15:14:00|
3992|5007216|510|2025-08-20|COVE257SAWTI5|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 19:47:02|
3992|5007374|510|2025-09-02|COVE257SBTBB5|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 21:42:00|
3992|5007440|510|2025-09-09|COVE257SCUU07|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-17 13:31:03|
3992|5007364|510|2025-08-29|COVE257SBGI82|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 19:47:08|
3992|5007882|510|2025-09-22|COVE257T0KQD5|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-29 16:54:02|
3992|5007132|510|2025-08-18|COVE257RKM1M6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-03 14:21:04|
3992|5007161|510|2025-08-04|COVE257RI0EV4|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-02 16:12:03|
3992|5007173|510|2025-09-07|COVE257RW6H95|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-09 13:34:01|
3992|5007426|510|2025-08-29|COVE257SBB1C4|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 18:31:06|
3992|5007119|510|2025-08-27|COVE257RHOK05|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-03 12:58:01|
3992|5007177|510|2025-09-07|COVE257RW6H95|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-09 13:34:03|
1861|5004611|370|2025-08-27|6ad58919-5ac3-403c-b1a7-707bcc86c31d|EXW|USD|350.88|350.88|HND| |8019021292230|ACTIVE MOTORS SA|COMPLEJO AUTOMOTRIZ GRUPO Q HONDURAS, BOULEVARD CENTROAM/RICA, FRENTE A PLAZA MI||S/N|0000|HONDURAS|2025-10-23 16:53:02|
3992|5007153|510|2025-07-31|COVE257RHZ672|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-02 15:10:01|
3992|5007292|510|2025-08-25|COVE257RZAFL8|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-10 17:49:02|
3992|5007152|510|2025-07-31|COVE257RHZ672|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-02 15:10:01|
3992|5007729|510|2025-09-09|COVE257SVW8X1|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-27 19:11:01|
3381|5009421|370|2025-09-25|5E85D3E3-6ABF-43D8-9C10-EDA38EFE8817|EXW|USD|39096.00|39096.00|HND| |08019025187502|VENTO MOTORCYCLES HONDURAS S.A.|BLV. MORAZAN||S/N|SN|COLONIA LOS ALMENDRO, TEGUCIGALPA|2025-10-24 17:28:01|
3992|5007706|510|2025-08-18|COVE257SIXN82|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-21 16:17:01|
3992|5007347|510|2025-09-08|COVE257SCEUZ4|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-17 12:02:02|
3992|5007217|510|2025-08-20|COVE257SAWTI5|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 19:47:03|
3992|5007883|510|2025-09-22|COVE257T0KQD5|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-29 16:54:03|
3381|5009421|370|2025-08-04|49ACFC81-FC55-4553-8064-9A16FD77BD23|EXW|USD|1349.64|1349.64|HND| |08019025187502|VENTO MOTORCYCLES HONDURAS S.A.|BLV. MORAZAN||S/N|SN|COLONIA LOS ALMENDRO, TEGUCIGALPA|2025-10-24 17:28:01|
3992|5007008|510|2025-08-07|COVE257RWDEQ5|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-09 15:58:04|
3992|5007156|510|2025-07-31|COVE257RHZ672|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-02 15:10:03|
3992|5007108|510|2025-09-01|COVE257SV7TJ3|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-27 17:43:02|
3992|5007291|510|2025-08-25|COVE257RZA9I1|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-10 17:49:02|
3992|5006989|510|2025-08-18|COVE257RHPKA6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-02 16:34:03|
3992|5007328|510|2025-09-08|COVE257S7T6V6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-15 13:54:00|
3992|5007020|510|2025-08-18|COVE257RIERN6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-02 17:09:02|
3992|5007191|510|2025-08-14|COVE257RZSRG6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-10 17:02:01|
3992|5007864|510|2025-09-08|COVE257T0NSJ6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-29 15:08:03|
3992|5007773|510|2025-09-11|COVE257SSFYT7|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-24 17:19:01|
3992|5007359|510|2025-08-22|COVE257S9TG46|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 19:46:02|
3992|5007249|510|2025-08-18|COVE257SATDN6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 15:07:03|
3992|5007709|510|2025-08-18|COVE257SIXN82|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-21 16:18:01|
3992|5007356|510|2025-08-22|COVE257S9TG46|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 19:46:00|
3992|5007700|510|2025-09-12|COVE257SJGFY3|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-21 15:50:01|
3992|5007861|510|2025-09-08|COVE257T0NSJ6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-29 15:08:01|
3992|5006992|510|2025-08-18|COVE257RHPKA6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-02 16:34:05|
3992|5006999|510|2025-08-07|COVE257RWDEQ5|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-09 15:58:01|
3992|5007403|510|2025-09-09|COVE257SBTJK3|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 19:48:07|
3992|5007129|510|2025-08-18|COVE257RKM1M6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-03 14:21:03|
3992|5007279|510|2025-08-10|COVE257S07HY6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-10 17:58:01|
3992|5007409|510|2025-09-09|COVE257SBTY74|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 19:48:07|
3992|5007124|510|2025-08-18|COVE257RKM1M6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-03 14:21:02|
3992|5007102|510|2025-08-18|COVE257RHOBC1|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-03 12:37:00|
3992|5007736|510|2025-09-16|COVE257STP5G6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-27 13:10:04|
3992|5007722|510|2025-09-12|COVE257SJCUM2|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-21 17:04:02|
3992|5007444|510|2025-09-09|COVE257SCUU07|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-17 13:31:05|
3992|5007716|510|2025-09-16|COVE257SJGU23|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-21 16:18:06|
3992|5007303|510|2025-09-02|COVE257SCAUC7|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-17 12:02:02|
3992|5007773|510|2025-09-11|COVE257SSHVU7|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-24 17:19:01|
3992|5007228|510|2025-08-18|COVE257SAHUB4|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 15:07:02|
3992|5007105|510|2025-09-01|COVE257SV7TJ3|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-28 13:14:01|
3992|5007141|510|2025-08-21|COVE257RI0BP4|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-02 15:12:04|
3992|5007888|510|2025-09-24|COVE257T1FNW6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-29 18:25:01|
3992|5007350|510|2025-09-08|COVE257SCEUZ4|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-17 12:02:05|
3992|5006991|510|2025-08-18|COVE257RHPKA6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-02 16:34:04|
3992|5007207|510|2025-08-22|COVE257RZBU97|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-10 16:23:02|
3992|5007732|510|2025-09-12|COVE257SJBRX7|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-21 16:19:03|
3992|5007880|510|2025-09-22|COVE257T0KQD5|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-29 16:54:01|
3992|5007190|510|2025-08-14|COVE257RZSRG6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-10 17:02:00|
3992|5007951|510|2025-09-23|COVE257T6BGU4|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-31 18:16:02|
3992|5007305|510|2025-09-02|COVE257SCAUC7|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-17 12:02:04|
3992|5007363|510|2025-08-29|COVE257SBGI82|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 19:47:07|
3992|5007358|510|2025-08-22|COVE257S9TG46|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 19:46:01|
