Patente|Pedimento|SeccionAduanera|FechaFacturacion|NumeroFactura|TerminoFacturacion|MonedaFacturacion|ValorDolares|ValorMonedaExtranjera|PaisFacturacion|EntidadFedFacturacion|IndentFiscalProveedor|ProveedorMercancia|CalleProveedor|NumInteriorProveedor|NumExteriorProveedor|CpProveedor|MunicipioProveedor|FechaPagoReal
3992|5007205|510|2025-08-22|COVE257RZBU97|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-10 16:23:02|
3992|5007360|510|2025-08-22|COVE257S9TG46|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 19:46:02|
3992|5007256|510|2025-08-22|COVE257S5I1O5|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-14 14:47:02|
3992|5007101|510|2025-08-18|COVE257RHOBC1|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-03 12:37:01|
3992|5007254|510|2025-08-22|COVE257S71EE6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-15 16:24:01|
3992|5007699|510|2025-09-12|COVE257SJGFY3|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-21 15:49:01|
3992|5007702|510|2025-09-12|COVE257SJYQX1|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-21 16:00:05|
3992|5007122|510|2025-08-27|COVE257RHOK05|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-02 16:04:04|
3992|5007900|510|2025-09-08|COVE257T16GL2|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-29 20:28:02|
3992|5007125|510|2025-08-27|COVE257RHOK05|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-03 12:58:01|
3992|5006673|510|2025-08-22|COVE257RZQY83|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-10 16:27:02|
3992|5007805|510|2025-09-02|COVE257T2KFR4|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-30 17:57:00|
3992|5007109|510|2025-08-21|COVE257RKZCR8|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-03 14:21:06|
3992|5007442|510|2025-09-09|COVE257SCUU07|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-17 13:31:04|
3992|5007743|510|2025-09-16|COVE257STP5G6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-27 13:11:07|
3992|5007378|510|2025-09-02|COVE257SBTBB5|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 21:42:02|
3992|5007182|510|2025-08-27|COVE257RJIVT8|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-03 10:13:01|
3992|5007261|510|2025-08-20|COVE257SB7HT2|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 19:47:05|
3992|5007246|510|2025-08-22|COVE257S71QP5|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-15 16:16:01|
3992|5006941|510|2025-07-28|COVE257RZGZV6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-10 17:49:03|
3992|5007308|510|2025-09-09|COVE257SBW6G8|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 21:23:01|
3992|5007395|510|2025-08-28|COVE257SBOFQ8|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 19:48:04|
3992|5007306|510|2025-09-09|COVE257SBW6G8|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 21:23:01|
3992|5007223|510|2025-09-02|COVE257RZJKY4|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-10 16:47:01|
3992|5007273|510|2025-08-26|COVE257SX9GM4|FOB| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-28 13:51:02|
3992|5007018|510|2025-08-18|COVE257RIERN6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-02 17:09:01|
3992|5006942|510|2025-07-28|COVE257RZGSR8|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-10 17:49:04|
3381|5009421|370|2025-08-04|C7D0483D-BE19-4E8B-9844-E437801F9D04|EXW|USD|1059.77|1059.77|HND| |08019025187502|VENTO MOTORCYCLES HONDURAS S.A.|BLV. MORAZAN||S/N|SN|COLONIA LOS ALMENDRO, TEGUCIGALPA|2025-10-24 17:28:01|
3992|5006985|510|2025-08-18|COVE257RHPKA6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-02 16:34:01|
3992|5007719|510|2025-09-16|COVE257SJGU23|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-21 16:18:07|
3992|5007324|510|2025-08-25|COVE257SDCPP2|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-17 13:50:01|
3992|5007215|510|2025-08-20|COVE257SAWTI5|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 19:47:02|
3992|5007281|510|2025-09-02|COVE257S06QU7|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-13 11:49:01|
3992|5007370|510|2025-08-29|COVE257SBKD11|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 19:47:10|
3992|5007235|510|2025-08-13|COVE257S5CLE1|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-15 15:12:01|
3992|5007133|510|2025-08-18|COVE257RKM1M6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-03 14:21:05|
3992|5007220|510|2025-08-20|COVE257SAWTI5|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 19:47:04|
