Patente|Pedimento|SeccionAduanera|ClaveContribucion|FormaPago|ImportePago|TipoPedimento|FechaPagoReal
3992|5007253|510|15|0|290|1|2025-10-14 14:47:01|
3381|5009420|370|1|0|446|1|2025-10-24 17:25:01|
3992|5006748|510|15|0|290|1|2025-10-16 15:07:04|
3992|5006748|510|23|0|46|1|2025-10-16 15:07:04|
3992|5007337|510|15|0|290|1|2025-10-13 18:20:01|
3992|5007119|510|23|0|46|1|2025-10-03 12:58:01|
3992|5007883|510|15|0|290|1|2025-10-29 16:54:03|
3992|5006868|510|23|0|46|1|2025-10-02 17:09:04|
3992|5007008|510|1|0|14066|1|2025-10-09 15:58:04|
3992|5007952|510|23|0|46|1|2025-10-31 18:16:02|
3992|5007862|510|1|0|12791|1|2025-10-29 15:08:01|
3992|5007150|510|1|0|8609|1|2025-10-02 15:23:01|
3992|5007832|510|1|0|5088|1|2025-10-27 19:03:05|
3992|5006993|510|15|0|290|1|2025-10-02 16:34:05|
3992|5007254|510|23|0|46|1|2025-10-15 16:24:01|
3992|5007272|510|15|0|290|1|2025-10-15 15:34:00|
3992|5006988|510|23|0|46|1|2025-10-02 16:34:03|
3992|5006993|510|1|0|12755|1|2025-10-02 16:34:05|
3992|5007701|510|23|0|46|1|2025-10-21 15:50:01|
3992|5007733|510|1|0|6840|1|2025-10-27 19:11:02|
3992|5007020|510|1|0|12077|1|2025-10-02 17:09:02|
3992|5007340|510|15|0|290|1|2025-10-14 12:50:01|
3992|5007788|510|1|0|11224|1|2025-10-27 17:18:02|
3992|5007218|510|23|0|46|1|2025-10-16 19:47:03|
3992|5007423|510|1|0|14041|1|2025-10-16 18:31:05|
3992|5007900|510|15|0|290|1|2025-10-29 20:28:02|
3992|5007175|510|15|0|290|1|2025-10-09 13:34:02|
3992|5007802|510|1|0|8471|1|2025-10-27 18:47:02|
3992|5007744|510|15|0|290|1|2025-10-27 19:11:01|
3992|5007022|510|23|0|46|1|2025-10-02 17:09:03|
3992|5007873|510|1|0|6268|1|2025-10-29 16:02:01|
3992|5007357|510|15|0|290|1|2025-10-16 19:46:01|
3992|5007272|510|1|0|11600|1|2025-10-15 15:34:00|
3992|5007273|510|23|0|46|1|2025-10-28 13:51:02|
3992|5007397|510|1|0|6392|1|2025-10-16 19:48:06|
3992|5007022|510|1|0|12077|1|2025-10-02 17:09:03|
3992|5006991|510|15|0|290|1|2025-10-02 16:34:04|
3992|5007266|510|23|0|46|1|2025-10-16 19:47:07|
3992|5007714|510|23|0|46|1|2025-10-21 16:18:04|
3992|5007004|510|1|0|15020|1|2025-10-22 15:24:02|
3992|5006414|510|1|0|16507|1|2025-10-10 17:38:03|
3992|5007887|510|23|0|46|1|2025-10-29 20:28:01|
3992|5007155|510|15|0|290|1|2025-10-02 15:10:02|
3992|5006943|510|1|0|15228|1|2025-10-10 17:49:05|
3992|5007403|510|15|0|290|1|2025-10-16 19:48:07|
3992|5007826|510|15|0|290|1|2025-10-27 19:03:04|
3992|5007900|510|1|0|6244|1|2025-10-29 20:28:02|
3992|5007223|510|23|0|46|1|2025-10-10 16:47:01|
3381|5009421|370|15|0|290|1|2025-10-24 17:28:01|
3992|5007699|510|15|0|290|1|2025-10-21 15:49:01|
3992|5007407|510|15|0|290|1|2025-10-16 19:48:05|
3992|5007223|510|1|0|5545|1|2025-10-10 16:47:01|
3992|5007369|510|15|0|290|1|2025-10-16 19:47:09|
3992|5007276|510|23|0|46|1|2025-10-28 13:51:03|
3992|5007782|510|15|0|290|1|2025-10-28 14:43:02|
3992|5007013|510|15|0|290|1|2025-10-28 13:14:01|
3992|5007236|510|23|0|46|1|2025-10-15 15:12:01|
3992|5007861|510|1|0|12791|1|2025-10-29 15:08:01|
3992|5007468|510|15|0|290|1|2025-10-21 16:17:05|
3992|5007889|510|1|0|4565|1|2025-10-29 18:25:01|
3992|5007257|510|15|0|290|1|2025-10-14 14:47:03|
3992|5007019|510|15|0|290|1|2025-10-02 17:09:01|
3992|5007881|510|15|0|290|1|2025-10-29 16:54:02|
3992|5006623|510|15|0|290|1|2025-10-10 17:49:02|
3992|5007007|510|23|0|46|1|2025-10-09 15:58:03|
3992|5007206|510|1|0|12655|1|2025-10-09 18:14:00|
3992|5007739|510|1|0|6178|1|2025-10-27 13:11:02|
3992|5007415|510|15|0|290|1|2025-10-17 13:31:01|
3992|5007235|510|15|0|290|1|2025-10-15 15:12:01|
3992|5007690|510|15|0|290|1|2025-10-27 17:43:02|
3992|5007006|510|15|0|290|1|2025-10-09 15:58:03|
3992|5007867|510|15|0|290|1|2025-10-29 15:08:02|
3992|5007735|510|23|0|46|1|2025-10-27 13:10:04|
3992|5006413|510|23|0|46|1|2025-10-10 17:38:02|
3992|5006749|510|23|0|46|1|2025-10-16 15:07:02|
3992|5007102|510|1|0|18487|1|2025-10-03 12:37:00|
3992|5007156|510|15|0|290|1|2025-10-02 15:10:03|
3992|5007833|510|23|0|46|1|2025-10-27 19:03:01|
3992|5007363|510|23|0|46|1|2025-10-16 19:47:07|
3992|5006943|510|23|0|46|1|2025-10-10 17:49:05|
3992|5007290|510|1|0|12383|1|2025-10-10 17:49:01|
3992|5007717|510|23|0|46|1|2025-10-21 16:18:06|
3992|5007206|510|23|0|46|1|2025-10-09 18:14:00|
3992|5007366|510|15|0|290|1|2025-10-16 19:47:09|
3992|5007131|510|23|0|46|1|2025-10-03 14:21:04|
3992|5007419|510|1|0|14041|1|2025-10-16 18:31:03|
3992|5007097|510|15|0|290|1|2025-10-03 12:03:01|
3992|5007861|510|15|0|290|1|2025-10-29 15:08:01|
3992|5007463|510|15|0|290|1|2025-10-21 16:17:02|
3992|5007421|510|1|0|14041|1|2025-10-16 18:31:04|
3992|5007803|510|23|0|46|1|2025-10-27 18:47:03|
3992|5007349|510|23|0|46|1|2025-10-17 12:02:04|
3992|5007837|510|23|0|46|1|2025-10-27 19:03:00|
3992|5007360|510|23|0|46|1|2025-10-16 19:46:02|
3992|5007425|510|15|0|290|1|2025-10-16 18:31:06|
3992|5007292|510|23|0|46|1|2025-10-10 17:49:02|
3992|5007347|510|1|0|4973|1|2025-10-17 12:02:02|
3992|5007003|510|1|0|15020|1|2025-10-22 15:24:02|
3992|5007349|510|1|0|4973|1|2025-10-17 12:02:04|
3992|5007450|510|1|0|6230|1|2025-10-17 13:31:07|
3992|5007405|510|15|0|290|1|2025-10-16 19:48:08|
3992|5007110|510|1|0|13904|1|2025-10-10 16:21:03|
3992|5007103|510|23|0|46|1|2025-10-03 12:37:01|
3992|5006780|510|15|0|290|1|2025-10-16 18:38:01|
1861|5004611|370|15|0|290|1|2025-10-23 16:53:02|
3992|5007899|510|1|0|6244|1|2025-10-29 20:28:01|
3992|5007008|510|23|0|46|1|2025-10-09 15:58:04|
3992|5007416|510|1|0|6259|1|2025-10-17 13:31:02|
3992|5007472|510|23|0|46|1|2025-10-21 16:17:06|
3992|5007744|510|23|0|46|1|2025-10-27 19:11:01|
3992|5007361|510|15|0|290|1|2025-10-16 19:46:03|
3992|5007397|510|15|0|290|1|2025-10-16 19:48:06|
3992|5007469|510|1|0|6260|1|2025-10-21 16:17:05|
3992|5006999|510|1|0|14078|1|2025-10-09 15:58:01|
3992|5007793|510|1|0|11224|1|2025-10-27 17:18:02|
3992|5007428|510|1|0|8243|1|2025-10-16 20:49:01|
3992|5007442|510|23|0|46|1|2025-10-17 13:31:04|
3992|5007127|510|1|0|11723|1|2025-10-03 14:21:02|
3992|5007478|510|1|0|18202|1|2025-10-28 12:19:05|
3381|5009421|370|23|0|46|1|2025-10-24 17:28:01|
3992|5007406|510|15|0|290|1|2025-10-16 19:48:05|
3992|5007250|510|23|0|46|1|2025-10-16 15:07:04|
3992|5007374|510|1|0|5600|1|2025-10-16 21:42:00|
3992|5007128|510|1|0|11723|1|2025-10-03 14:21:03|
3992|5007826|510|1|0|5088|1|2025-10-27 19:03:04|
3992|5007802|510|23|0|46|1|2025-10-27 18:47:02|
3992|5007228|510|1|0|14136|1|2025-10-16 15:07:02|
3992|5007368|510|1|0|12332|1|2025-10-16 19:47:07|
3992|5007357|510|23|0|46|1|2025-10-16 19:46:01|
3992|5007288|510|1|0|12383|1|2025-10-10 17:49:00|
3992|5006623|510|1|0|10530|1|2025-10-10 17:49:02|
3992|5007889|510|15|0|290|1|2025-10-29 18:25:01|
3992|5007143|510|23|0|46|1|2025-10-02 15:12:05|
3992|5007410|510|15|0|290|1|2025-10-27 13:12:04|
3992|5006942|510|15|0|290|1|2025-10-10 17:49:04|
3992|5007126|510|23|0|46|1|2025-10-03 12:58:00|
3992|5007190|510|15|0|290|1|2025-10-10 17:02:00|
3992|5007332|510|23|0|46|1|2025-10-15 13:55:03|
3992|5007387|510|15|0|290|1|2025-10-16 19:48:01|
3992|5007143|510|1|0|6151|1|2025-10-02 15:12:05|
