Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|ClaveCaso|IdentificadorCaso|ComplementoCaso|FechaPagoReal
3992|5007235|510|84821099|17|EN|X|NOM-050-SCFI-2004|2025-10-15 15:12:01|
3992|5006729|510|85122001|27|ES|N||2025-10-28 14:09:01|
3992|5007274|510|85118001|22|UM|O||2025-10-28 13:51:02|
3992|5007275|510|84818099|17|PS|XVb||2025-10-28 13:51:03|
3992|5007793|510|84073299|17|EN|X|NOM-050-SCFI-2004|2025-10-27 17:18:02|
3992|5007740|510|85176217|21|EN|U|NOM-019-SCFI-1998|2025-10-27 13:11:03|
3992|5007863|510|85176217|31|EN|U|NOM-019-SCFI-1998|2025-10-29 15:08:02|
3992|5007424|510|84213199|12|ES|N||2025-10-16 18:31:05|
3992|5007736|510|85122001|19|EN|X|NOM-024-SCFI-2013|2025-10-27 13:10:04|
3992|5007449|510|82060001|10|ES|N||2025-10-28 12:19:03|
3992|5007733|510|84212301|11|EN|X|NOM-050-SCFI-2004|2025-10-27 19:11:02|
3992|5007305|510|40169304|3|UM|O||2025-10-17 12:02:04|
3992|5007421|510|84099199|11|UM|O||2025-10-16 18:31:04|
3992|5007874|510|83012002|9|ES|N||2025-10-29 16:02:01|
3992|5007481|510|84073299|12|ES|N||2025-10-28 12:19:06|
3992|5007740|510|84821099|13|ES|N||2025-10-27 13:11:03|
3992|5007361|510|90292006|34|ES|N||2025-10-16 19:46:03|
3992|5007782|510|85071099|15|ES|N||2025-10-28 14:43:02|
3992|5007108|510|70091099|8|UM|O||2025-10-27 17:43:02|
3992|5007802|510|82060001|13|UM|O||2025-10-27 18:47:02|
3992|5007275|510|85122001|11|ES|N||2025-10-28 13:51:03|
3992|5007447|510|85176217|24|EN|U|NOM-221-SCFI-2017|2025-10-28 12:19:02|
3992|5007449|510|85118001|20|EN|X|NOM-024-SCFI-2013|2025-10-28 12:19:03|
3992|5007413|510|40169999|3|UM|O||2025-10-16 19:11:03|
3992|5007789|510|70091099|8|EN|U|NOM-024-SCFI-2013|2025-10-27 17:18:03|
3992|5007901|510|84213199|12|UM|O||2025-10-29 20:28:03|
3992|5007105|510|83012002|12|EN|U|NOM-050-SCFI-2004|2025-10-28 13:14:01|
3992|5007309|510|49089099|5|ES|N||2025-10-16 21:23:02|
3992|5007349|510|90292006|12|UM|O||2025-10-17 12:02:04|
3992|5007866|510|85176217|31|EN|U|NOM-001-SCFI-2018|2025-10-29 15:09:01|
3992|5007887|510|73181599|6|UM|O||2025-10-29 20:28:01|
3992|5007837|510|90292006|31|ES|N||2025-10-27 19:03:00|
3992|5007250|510|85122001|25|ES|N||2025-10-16 15:07:04|
3992|5007781|510|84831008|13|UM|O||2025-10-28 14:10:01|
3992|5007860|510|73181599|13|ES|N||2025-10-29 15:08:00|
3992|5007790|510|85113005|25|EN|E|NOM-024-SCFI-2013|2025-10-27 17:18:03|
3992|5006733|510|85122001|27|EN|X|NOM-024-SCFI-2013|2025-10-28 14:09:01|
3992|5007400|510|85176217|24|ES|N||2025-10-28 12:19:00|
3992|5007410|510|73181599|7|UM|O||2025-10-27 13:12:04|
3992|5007357|510|73269099|12|XP|T1|U|2025-10-16 19:46:01|
3992|5007738|510|73181599|6|EN|X|NOM-050-SCFI-2004|2025-10-27 13:10:06|
3992|5007789|510|85176217|31|EN|U|NOM-196-SCFI-2016|2025-10-27 17:18:03|
3992|5007738|510|39239099|1|PS|XVb||2025-10-27 13:10:06|
3992|5007265|510|40114001|3|UM|O||2025-10-16 19:47:06|
3992|5007429|510|40169901|6|UM|O||2025-10-16 20:49:01|
3992|5007837|510|84831008|32|EN|X|NOM-050-SCFI-2004|2025-10-27 19:03:00|
3992|5007453|510|85365099|27|UM|O||2025-10-28 12:19:03|
3992|5007792|510|39269099|2|EN|U|NOM-002-CONAGUA-2021|2025-10-27 17:18:01|
3992|5007228|510|85443099|34|ES|N||2025-10-16 15:07:02|
3992|5007876|510|85118001|19|EN|X|NOM-024-SCFI-2013|2025-10-29 16:02:02|
3992|5007274|510|70091099|6|EN|U|NOM-024-SCFI-2013|2025-10-28 13:51:02|
3992|5007739|510|85122001|19|ES|N||2025-10-27 13:11:02|
3992|5007950|510|40169304|5|UM|O||2025-10-31 18:16:02|
3992|5007799|510|84099199|42|ES|N||2025-10-27 18:47:01|
3992|5007793|510|90292006|12|UM|O||2025-10-27 17:18:02|
3992|5007357|510|85364199|27|ES|N||2025-10-16 19:46:01|
3992|5007833|510|85365099|23|UM|O||2025-10-27 19:03:01|
3992|5007108|510|85122001|23|ES|N||2025-10-27 17:43:02|
3992|5007738|510|85176217|21|EN|U|NOM-019-SCFI-1998|2025-10-27 13:10:06|
3992|5007448|510|85071099|15|EN|X|NOM-024-SCFI-2013|2025-10-17 13:31:06|
3992|5007429|510|84099199|19|UM|O||2025-10-16 20:49:01|
3992|5007275|510|70091099|6|ES|N||2025-10-28 13:51:03|
3992|5007792|510|85365099|33|UM|O||2025-10-27 17:18:01|
3992|5007734|510|85176217|21|ES|N||2025-10-27 13:10:02|
3992|5007250|510|70091099|5|UM|O||2025-10-16 15:07:04|
3992|5007108|510|84833004|19|ES|N||2025-10-27 17:43:02|
3992|5007793|510|90318099|7|XP|D1|U|2025-10-27 17:18:02|
3992|5007792|510|39269099|2|XP|S3|U|2025-10-27 17:18:01|
3992|5007828|510|85444299|25|PS|XVb||2025-10-27 19:03:01|
3992|5007106|510|84831008|18|UM|O||2025-10-27 17:43:04|
3992|5006731|510|85071099|23|PS|XVb||2025-10-28 00:21:05|
3992|5007421|510|85071099|18|UM|O||2025-10-16 18:31:04|
3992|5007737|510|40114001|3|EN|X|NOM-050-SCFI-2004|2025-10-27 13:10:05|
3992|5007864|510|85122001|28|EN|X|NOM-024-SCFI-2013|2025-10-29 15:08:03|
3992|5007897|510|85176217|19|EN|U|NOM-218-SCFI-2017|2025-10-29 20:28:02|
3992|5007388|510|73269099|37|XP|T9|U|2025-10-16 19:48:02|
3992|5007409|510|85122001|19|UM|O||2025-10-16 19:48:07|
3992|5007791|510|85129007|30|EN|U|NOM-050-SCFI-2004|2025-10-28 16:49:03|
3992|5007481|510|85364199|25|ES|N||2025-10-28 12:19:06|
3992|5007735|510|90292006|28|ES|N||2025-10-27 13:10:04|
3992|5007406|510|39269099|2|EN|X|NOM-050-SCFI-2004|2025-10-16 19:48:05|
3992|5007738|510|85176217|21|EN|U|NOM-016-SCFI-1993|2025-10-27 13:10:06|
3992|5007901|510|85176217|19|EN|U|NOM-221-SCFI-2017|2025-10-29 20:28:03|
3992|5007865|510|70091099|11|EN|X|NOM-050-SCFI-2004|2025-10-29 15:08:03|
3992|5007727|510|85365099|23|EN|X|NOM-024-SCFI-2013|2025-10-27 19:11:02|
3992|5007691|510|39269099|2|EN|X|NOM-050-SCFI-2004|2025-10-27 17:43:03|
3992|5007735|510|70091099|5|EN|X|NOM-050-SCFI-2004|2025-10-27 13:10:04|
3992|5007427|510|73269099|11|XP|T9|U|2025-10-16 20:49:01|
3992|5007783|510|84073299|9|UM|O||2025-10-27 18:16:01|
3992|5007734|510|49089099|4|ES|N||2025-10-27 13:10:02|
3992|5007948|510|40169304|4|EN|X|NOM-002-CONAGUA-2021|2025-10-31 17:23:01|
3992|5007215|510|73181599|8|UM|O||2025-10-16 19:47:02|
3992|5007448|510|39269099|2|ES|N||2025-10-17 13:31:06|
3992|5007399|510|82060001|10|UM|O||2025-10-28 12:19:02|
3992|5007477|510|85118001|20|ES|N||2025-10-28 12:19:04|
3992|5007111|510|83012002|12|EN|U|NOM-050-SCFI-2004|2025-10-27 17:43:04|
3992|5007356|510|39233002|2|ES|N||2025-10-16 19:46:00|
3992|5007881|510|90292006|17|EN|U|NOM-024-SCFI-2013|2025-10-29 16:54:02|
3992|5006731|510|84073299|17|UM|O||2025-10-28 00:21:05|
3992|5007441|510|90292006|34|EN|X|NOM-050-SCFI-2004|2025-10-28 12:19:01|
3992|5007735|510|84831008|14|ES|N||2025-10-27 13:10:04|
3992|5007691|510|40169304|3|EN|U|NOM-002-CONAGUA-2021|2025-10-27 17:43:03|
3992|5007880|510|85365099|13|UM|O||2025-10-29 16:54:01|
3992|5007405|510|84073299|10|ES|N||2025-10-16 19:48:08|
3992|5007831|510|40114001|2|UM|O||2025-10-27 19:03:03|
3992|5007791|510|40114001|3|UM|O||2025-10-28 16:49:03|
3992|5007478|510|85443099|28|ES|N||2025-10-28 12:19:05|
3992|5007443|510|90292006|28|ES|N||2025-10-17 13:31:04|
3992|5007414|510|84831008|23|ES|N||2025-10-16 20:49:00|
3992|5007952|510|85044017|23|EN|X|NOM-024-SCFI-2013|2025-10-31 18:16:02|
3992|5007791|510|85365099|33|UM|O||2025-10-28 16:49:03|
3992|5007831|510|83012002|9|UM|O||2025-10-27 19:03:03|
3992|5007250|510|85176217|30|EN|U|NOM-019-SCFI-1998|2025-10-16 15:07:04|
3992|5007737|510|85071099|15|PS|XVb||2025-10-27 13:10:05|
3992|5007276|510|70091099|6|ES|N||2025-10-28 13:51:03|
3992|5007296|510|83012002|8|UM|O||2025-10-28 15:14:00|
3992|5007842|510|73181606|9|UM|O||2025-10-31 19:49:00|
3992|5007399|510|85444299|29|UM|O||2025-10-28 12:19:02|
3992|5007866|510|49089099|40|ES|N||2025-10-29 15:09:01|
3992|5007250|510|84073299|13|UM|O||2025-10-16 15:07:04|
3992|5007742|510|84073299|10|UM|O||2025-10-27 13:11:06|
3992|5007834|510|73181599|38|EC|1||2025-10-27 19:03:02|
3992|5006734|510|39269099|3|XP|A1|U|2025-10-28 14:09:02|
3992|5007442|510|85123099|20|EN|X|NOM-024-SCFI-2013|2025-10-17 13:31:04|
3992|5007350|510|85123099|18|UM|O||2025-10-17 12:02:05|
3992|5007399|510|84818099|15|UM|O||2025-10-28 12:19:02|
3992|5007441|510|85364199|25|ES|N||2025-10-28 12:19:01|
3992|5007773|510|84818099|30|UM|O||2025-10-24 17:19:01|
3992|5007368|510|40114001|2|ES|N||2025-10-16 19:47:07|
3992|5007799|510|84831008|32|UM|O||2025-10-27 18:47:01|
3992|5007866|510|84831008|21|EN|X|NOM-050-SCFI-2004|2025-10-29 15:09:01|
3992|5007826|510|73269099|37|XP|T3|U|2025-10-27 19:03:04|
3992|5007902|510|83012002|9|UM|O||2025-10-29 20:28:04|
3992|5007797|510|85176217|26|EN|X|NOM-208-SCFI-2016|2025-10-28 12:21:01|
3992|5007896|510|85123099|18|UM|O||2025-10-29 20:28:02|
3992|5007370|510|90318099|34|ES|N||2025-10-16 19:47:10|
3992|5007108|510|84818099|16|EN|U|NOM-002-CONAGUA-2021|2025-10-27 17:43:02|
3992|5007800|510|39269099|1|XP|S3|U|2025-10-27 18:47:01|
3992|5007740|510|85118001|17|UM|O||2025-10-27 13:11:03|
3992|5007416|510|39239099|1|PS|XVb||2025-10-17 13:31:02|
3992|5007307|510|73181606|10|EN|X|NOM-050-SCFI-2004|2025-10-17 12:02:04|
3992|5007865|510|49119999|10|EN|X|NOM-050-SCFI-2004|2025-10-29 15:08:03|
3992|5007276|510|84818099|17|ES|N||2025-10-28 13:51:03|
3992|5007737|510|49089099|4|UM|O||2025-10-27 13:10:05|
3992|5007376|510|85123099|12|UM|O||2025-10-16 21:42:01|
3992|5007802|510|83012002|14|UM|O||2025-10-27 18:47:02|
3992|5007480|510|83012002|11|UM|O||2025-10-28 12:19:06|
3992|5006734|510|40114001|4|UM|O||2025-10-28 14:09:02|
3992|5007736|510|85176217|21|UM|O||2025-10-27 13:10:04|
3992|5007740|510|84213199|12|PS|XVb||2025-10-27 13:11:03|
3992|5007792|510|85113005|25|UM|O||2025-10-27 17:18:01|
3992|5007393|510|85129007|21|EN|X|NOM-050-SCFI-2004|2025-10-16 20:20:01|
3992|5007798|510|39269099|4|XP|S3|U|2025-10-27 18:47:00|
3992|5007869|510|40114001|2|EN|X|NOM-050-SCFI-2004|2025-10-29 16:54:00|
3992|5007013|510|39269099|1|UM|O||2025-10-28 13:14:01|
3992|5007366|510|85071099|18|ES|N||2025-10-16 19:47:09|
3992|5007422|510|39269099|1|ES|N||2025-10-16 18:31:05|
3992|5007829|510|90292006|31|ES|N||2025-10-27 19:03:03|
3992|5007399|510|85365099|27|EN|U|NOM-003-SCFI-2014|2025-10-28 12:19:02|
3992|5007744|510|85071099|17|EN|X|NOM-024-SCFI-2013|2025-10-27 19:11:01|
3992|5007375|510|85122001|11|ES|N||2025-10-16 21:42:01|
3992|5007013|510|85443099|26|EN|E|NOM-024-SCFI-2013|2025-10-28 13:14:01|
3992|5007797|510|40114001|2|EN|X|NOM-050-SCFI-2004|2025-10-28 12:21:01|
3992|5007781|510|39269099|2|EN|U|NOM-002-CONAGUA-2021|2025-10-28 14:10:01|
3992|5006733|510|85176217|30|UM|O||2025-10-28 14:09:01|
3992|5007834|510|39269099|1|XP|S1|U|2025-10-27 19:03:02|
3992|5007744|510|84099199|11|ES|N||2025-10-27 19:11:01|
3992|5007393|510|85071099|13|UM|O||2025-10-16 20:20:01|
3992|5007833|510|90292006|31|EN|U|NOM-024-SCFI-2013|2025-10-27 19:03:01|
3992|5007734|510|90292006|28|ES|N||2025-10-27 13:10:02|
3992|5007797|510|85118001|22|UM|O||2025-10-28 12:21:01|
3992|5007305|510|84099199|14|ES|N||2025-10-17 12:02:04|
3992|5007389|510|85122001|18|EN|X|NOM-024-SCFI-2013|2025-10-16 20:20:01|
3992|5007740|510|39269099|2|XP|A1|U|2025-10-27 13:11:03|
3992|5006734|510|85071099|23|PS|XVb||2025-10-28 14:09:02|
3992|5007111|510|85176217|27|EN|U|NOM-218-SCFI-2017|2025-10-27 17:43:04|
3992|5007424|510|84073299|9|ES|N||2025-10-16 18:31:05|
3992|5007779|510|84073299|7|EN|X|NOM-050-SCFI-2004|2025-10-27 18:16:01|
3992|5007834|510|83012002|8|EN|U|NOM-050-SCFI-2004|2025-10-27 19:03:02|
3992|5007479|510|73181599|7|ES|N||2025-10-28 12:19:05|
3992|5007897|510|85118001|15|UM|O||2025-10-29 20:28:02|
3992|5007836|510|70091099|5|EN|X|NOM-050-SCFI-2004|2025-10-27 19:03:04|
3992|5007797|510|85364199|27|ES|N||2025-10-28 12:21:01|
3992|5007340|510|85044017|23|EN|X|NOM-024-SCFI-2013|2025-10-14 12:50:01|
3992|5007826|510|73269099|37|ES|N||2025-10-27 19:03:04|
3992|5007273|510|40169999|3|ES|N||2025-10-28 13:51:02|
3992|5007860|510|84099199|19|ES|N||2025-10-29 15:08:00|
3992|5007444|510|84099199|11|ES|N||2025-10-17 13:31:05|
3992|5007324|510|84831008|9|UM|O||2025-10-17 13:50:01|
3992|5007447|510|84099199|13|UM|O||2025-10-28 12:19:02|
3992|5007789|510|85444299|35|ES|N||2025-10-27 17:18:03|
3992|5007837|510|85443099|24|UM|O||2025-10-27 19:03:00|
3992|5007246|510|83012002|24|UM|O||2025-10-15 16:16:01|
3992|5007866|510|85044099|23|EN|U|NOM-001-SCFI-2018|2025-10-29 15:09:01|
3992|5007828|510|85443099|24|ES|N||2025-10-27 19:03:01|
3992|5007780|510|85364199|19|EN|X|NOM-024-SCFI-2013|2025-10-28 14:10:01|
3992|5007275|510|85365099|29|EN|U|NOM-003-SCFI-2014|2025-10-28 13:51:03|
3992|5007860|510|73181606|14|UM|O||2025-10-29 15:08:00|
3992|5007902|510|84099199|11|EN|E|NOM-050-SCFI-2004|2025-10-29 20:28:04|
3992|5007349|510|85122001|17|UM|O||2025-10-17 12:02:04|
3992|5007825|510|73181599|8|EC|1||2025-10-27 17:43:00|
3992|5007866|510|49119999|10|EN|X|NOM-050-SCFI-2004|2025-10-29 15:09:01|
3992|5007797|510|84213199|15|PS|XVb||2025-10-28 12:21:01|
3992|5007303|510|84099199|14|ES|N||2025-10-17 12:02:02|
3992|5007350|510|39269099|2|UM|O||2025-10-17 12:02:05|
3992|5007898|510|83012002|8|UM|O||2025-10-29 20:28:03|
3992|5006733|510|85113005|24|EN|E|NOM-024-SCFI-2013|2025-10-28 14:09:01|
3992|5007744|510|85176217|23|EN|U|NOM-218-SCFI-2017|2025-10-27 19:11:01|
3992|5007425|510|85365099|26|EN|U|NOM-003-SCFI-2014|2025-10-16 18:31:06|
3992|5007869|510|90292006|26|EN|U|NOM-024-SCFI-2013|2025-10-29 16:54:00|
3992|5006734|510|83012002|16|EN|U|NOM-050-SCFI-2004|2025-10-28 14:09:02|
3992|5007876|510|84818099|13|UM|O||2025-10-29 16:02:02|
3992|5007276|510|85443099|30|UM|O||2025-10-28 13:51:03|
3992|5007105|510|84831008|18|ES|N||2025-10-28 13:14:01|
3992|5007297|510|82060001|7|EN|X|NOM-050-SCFI-2004|2025-10-28 15:14:01|
3992|5007250|510|82060001|11|UM|O||2025-10-16 15:07:04|
3992|5007801|510|73269099|11|XP|T1|U|2025-10-27 18:47:02|
3992|5007801|510|40114001|5|EN|X|NOM-050-SCFI-2004|2025-10-27 18:47:02|
3992|5007869|510|84213199|10|UM|O||2025-10-29 16:54:00|
3992|5007422|510|85122099|22|EN|X|NOM-024-SCFI-2013|2025-10-16 18:31:05|
3992|5007409|510|49089099|4|UM|O||2025-10-16 19:48:07|
3992|5007867|510|85044099|23|UM|O||2025-10-29 15:08:02|
3992|5007791|510|84099199|18|UM|O||2025-10-28 16:49:03|
3992|5007744|510|70091099|6|EN|X|NOM-050-SCFI-2004|2025-10-27 19:11:01|
3992|5007393|510|85176217|6|UM|O||2025-10-16 20:20:01|
3992|5007479|510|85364199|25|UM|O||2025-10-28 12:19:05|
3992|5007829|510|49089099|4|ES|N||2025-10-27 19:03:03|
3992|5007901|510|85122001|17|UM|O||2025-10-29 20:28:03|
3992|5007896|510|70091099|5|EN|U|NOM-024-SCFI-2013|2025-10-29 20:28:02|
3992|5007783|510|90318099|29|XP|D1|U|2025-10-27 18:16:01|
3992|5007873|510|90292006|32|EN|U|NOM-024-SCFI-2013|2025-10-29 16:02:01|
3992|5007219|510|84818099|16|EN|U|NOM-002-CONAGUA-2021|2025-10-16 19:47:04|
3992|5007108|510|85364199|25|EN|X|NOM-024-SCFI-2013|2025-10-27 17:43:02|
3992|5007876|510|85365099|25|UM|O||2025-10-29 16:02:02|
3992|5006734|510|84818099|20|EN|U|NOM-002-CONAGUA-2021|2025-10-28 14:09:02|
3992|5007324|510|82060001|3|ES|N||2025-10-17 13:50:01|
3992|5007442|510|40114001|3|ES|N||2025-10-17 13:31:04|
3992|5007399|510|83012002|11|EN|U|NOM-050-SCFI-2004|2025-10-28 12:19:02|
3992|5007107|510|49089099|7|UM|O||2025-10-27 17:43:01|
3992|5007801|510|85364199|29|EN|U|NOM-024-SCFI-2013|2025-10-27 18:47:02|
3992|5007358|510|85176217|26|EN|U|NOM-001-SCFI-2018|2025-10-16 19:46:01|
3992|5007880|510|85071099|10|PS|XVb||2025-10-29 16:54:01|
3992|5007831|510|85176217|6|EN|U|NOM-019-SCFI-1998|2025-10-27 19:03:03|
3992|5007736|510|85364199|22|ES|N||2025-10-27 13:10:04|
3992|5007901|510|85123099|18|ES|N||2025-10-29 20:28:03|
3992|5007689|510|40169304|3|EN|U|NOM-002-CONAGUA-2021|2025-10-27 17:43:01|
3992|5007862|510|70091099|11|ES|N||2025-10-29 15:08:01|
3992|5007264|510|40169304|4|ES|N||2025-10-16 19:47:06|
3992|5007739|510|85176217|21|EN|U|NOM-221-SCFI-2017|2025-10-27 13:11:02|
3992|5007787|510|85176217|31|EN|X|NOM-024-SCFI-2013|2025-10-27 17:18:01|
3992|5007296|510|85365099|23|ES|N||2025-10-28 15:14:00|
3992|5007440|510|73181599|6|EN|X|NOM-050-SCFI-2004|2025-10-17 13:31:03|
3992|5007416|510|85113005|16|ES|N||2025-10-17 13:31:02|
3992|5007862|510|49089099|40|UM|O||2025-10-29 15:08:01|
3992|5007790|510|85113005|25|UM|O||2025-10-27 17:18:03|
3992|5007803|510|39191001|3|EN|X|NOM-050-SCFI-2004|2025-10-27 18:47:03|
3992|5007419|510|90318099|32|XP|D1|U|2025-10-16 18:31:03|
3992|5007860|510|85044099|23|UM|O||2025-10-29 15:08:00|
3992|5007690|510|73182102|10|EN|X|NOM-050-SCFI-2004|2025-10-27 17:43:02|
3992|5007453|510|90292006|34|EN|U|NOM-024-SCFI-2013|2025-10-28 12:19:03|
3992|5007106|510|73181599|10|ES|N||2025-10-27 17:43:04|
3992|5007831|510|85122001|15|EN|X|NOM-024-SCFI-2013|2025-10-27 19:03:03|
3992|5007860|510|85123099|30|ES|N||2025-10-29 15:08:00|
3992|5007361|510|73181599|10|UM|O||2025-10-16 19:46:03|
3992|5007753|510|85122001|27|EN|X|NOM-024-SCFI-2013|2025-10-22 17:10:02|
3992|5007296|510|85364199|22|EN|X|NOM-024-SCFI-2013|2025-10-28 15:14:00|
3992|5007479|510|85176217|24|UM|O||2025-10-28 12:19:05|
3992|5006780|510|85071099|20|EN|X|NOM-024-SCFI-2013|2025-10-16 18:38:01|
3992|5007302|510|73181599|8|UM|O||2025-10-17 12:02:01|
3992|5007740|510|85113005|16|ES|N||2025-10-27 13:11:03|
3992|5007734|510|70091099|5|EN|X|NOM-050-SCFI-2004|2025-10-27 13:10:02|
3992|5007834|510|83012002|8|UM|O||2025-10-27 19:03:02|
3992|5007374|510|84099199|8|UM|O||2025-10-16 21:42:00|
3992|5007842|510|90292006|37|UM|O||2025-10-31 19:49:00|
3992|5007783|510|85119006|18|EN|X|NOM-024-SCFI-2013|2025-10-27 18:16:01|
3992|5007878|510|85119006|18|ES|N||2025-10-29 16:02:03|
3992|5007799|510|83100099|17|EN|X|NOM-050-SCFI-2004|2025-10-27 18:47:01|
3992|5007802|510|85364199|29|EN|U|NOM-024-SCFI-2013|2025-10-27 18:47:02|
3992|5007296|510|84213199|11|EN|X|NOM-050-SCFI-2004|2025-10-28 15:14:00|
3992|5007266|510|85176217|31|UM|O||2025-10-16 19:47:07|
3992|5007803|510|84213199|21|ES|N||2025-10-27 18:47:03|
3992|5007832|510|85129007|21|EN|X|NOM-050-SCFI-2004|2025-10-27 19:03:05|
3992|5007738|510|85071099|15|ES|N||2025-10-27 13:10:06|
3992|5007443|510|84073299|10|EN|X|NOM-050-SCFI-2004|2025-10-17 13:31:04|
3992|5007416|510|84213199|12|EN|X|NOM-050-SCFI-2004|2025-10-17 13:31:02|
3992|5007734|510|83012002|9|UM|O||2025-10-27 13:10:02|
3992|5007276|510|83012002|13|EN|U|NOM-050-SCFI-2004|2025-10-28 13:51:03|
3992|5007752|510|85444299|36|PS|XVb||2025-10-22 17:10:01|
3992|5007395|510|40114001|2|ES|N||2025-10-16 19:48:04|
3992|5007480|510|84099199|13|EN|E|NOM-050-SCFI-2004|2025-10-28 12:19:06|
3992|5007899|510|39269099|1|EN|X|NOM-050-SCFI-2004|2025-10-29 20:28:01|
3992|5007106|510|85071099|20|PS|XVb||2025-10-27 17:43:04|
3992|5007952|510|73181599|11|EN|X|NOM-050-SCFI-2004|2025-10-31 18:16:02|
3992|5007801|510|84833004|22|EN|X|NOM-050-SCFI-2004|2025-10-27 18:47:02|
3992|5007414|510|85113005|26|ES|N||2025-10-16 20:49:00|
3992|5007413|510|40169999|3|ES|N||2025-10-16 19:11:03|
3992|5007689|510|85122001|15|ES|N||2025-10-27 17:43:01|
3992|5007782|510|73181599|6|EN|X|NOM-050-SCFI-2004|2025-10-28 14:43:02|
3992|5007729|510|87141001|24|ES|N||2025-10-27 19:11:01|
3992|5007414|510|84831008|23|UM|O||2025-10-16 20:49:00|
3992|5007414|510|85176217|31|EN|X|NOM-024-SCFI-2013|2025-10-16 20:49:00|
3992|5007873|510|85364199|23|EN|X|NOM-024-SCFI-2013|2025-10-29 16:02:01|
3992|5007441|510|84831008|16|UM|O||2025-10-28 12:19:01|
3992|5007738|510|85176217|21|EN|U|NOM-196-SCFI-2016|2025-10-27 13:10:06|
3992|5007303|510|90292006|12|ES|N||2025-10-17 12:02:02|
3992|5007220|510|85176217|30|EN|U|NOM-218-SCFI-2017|2025-10-16 19:47:04|
3992|5007832|510|84831008|32|EN|X|NOM-050-SCFI-2004|2025-10-27 19:03:05|
3992|5007410|510|73181599|7|EN|X|NOM-050-SCFI-2004|2025-10-27 13:12:04|
3992|5007898|510|84213199|12|UM|O||2025-10-29 20:28:03|
3992|5007896|510|85176217|19|EN|U|NOM-001-SCFI-2018|2025-10-29 20:28:02|
3992|5007268|510|82060001|12|ES|N||2025-10-15 15:33:04|
3992|5007388|510|84099199|11|ES|N||2025-10-16 19:48:02|
3992|5007832|510|85122001|16|EN|X|NOM-024-SCFI-2013|2025-10-27 19:03:05|
3992|5007783|510|85365099|23|ES|N||2025-10-27 18:16:01|
3992|5007863|510|83100099|17|EN|X|NOM-050-SCFI-2004|2025-10-29 15:08:02|
3992|5007443|510|82060001|7|UM|O||2025-10-17 13:31:04|
3992|5007425|510|90292006|31|UM|O||2025-10-16 18:31:06|
3992|5007736|510|84821099|13|ES|N||2025-10-27 13:10:04|
3992|5007883|510|73181599|5|EC|1||2025-10-29 16:54:03|
3992|5007773|510|39269099|2|XP|A1|U|2025-10-24 17:19:01|
3992|5007260|510|85123099|29|UM|O||2025-10-16 20:19:01|
3992|5007309|510|73181599|7|EC|1||2025-10-16 21:23:02|
3992|5007690|510|39269099|2|XP|A1|U|2025-10-27 17:43:02|
3992|5007274|510|85364199|28|UM|O||2025-10-28 13:51:02|
3992|5007834|510|85071099|13|ES|N||2025-10-27 19:03:02|
3992|5007689|510|85122001|15|UM|O||2025-10-27 17:43:01|
3992|5007220|510|40114001|2|ES|N||2025-10-16 19:47:04|
3992|5007358|510|83012002|14|ES|N||2025-10-16 19:46:01|
3992|5007773|510|84824001|32|EN|ENOM|NOM-050-SCFI-2004|2025-10-24 17:19:01|
3992|5007798|510|85113005|41|ES|N||2025-10-27 18:47:00|
3992|5007736|510|85123099|20|EN|X|NOM-024-SCFI-2013|2025-10-27 13:10:04|
3992|5007440|510|70091099|5|UM|O||2025-10-17 13:31:03|
3992|5007302|510|85123099|18|EN|X|NOM-024-SCFI-2013|2025-10-17 12:02:01|
3992|5007837|510|85176217|6|ES|N||2025-10-27 19:03:00|
3992|5007791|510|90318099|7|UM|O||2025-10-28 16:49:03|
3992|5007742|510|83012002|8|EN|U|NOM-050-SCFI-2004|2025-10-27 13:11:06|
3992|5007406|510|39269099|2|UM|O||2025-10-16 19:48:05|
3992|5007423|510|39269099|1|XP|S3|U|2025-10-16 18:31:05|
3992|5007898|510|70091099|5|EN|U|NOM-024-SCFI-2013|2025-10-29 20:28:03|
3992|5007790|510|85129007|30|EN|U|NOM-050-SCFI-2004|2025-10-27 17:18:03|
3992|5007737|510|85113005|16|UM|O||2025-10-27 13:10:05|
3992|5007897|510|84213199|12|PS|XVb||2025-10-29 20:28:02|
3992|5007365|510|85113005|19|EN|E|NOM-024-SCFI-2013|2025-10-16 19:47:08|
3992|5007261|510|40114001|3|ES|N||2025-10-16 19:47:05|
3992|5007735|510|39269099|2|XP|A1|U|2025-10-27 13:10:04|
3992|5007729|510|70091099|5|ES|N||2025-10-27 19:11:01|
3992|5007873|510|85071099|17|EN|X|NOM-024-SCFI-2013|2025-10-29 16:02:01|
3992|5007419|510|39269099|1|EN|X|NOM-050-SCFI-2004|2025-10-16 18:31:03|
3992|5007420|510|85044017|17|EN|X|NOM-001-SCFI-2018|2025-10-16 18:31:04|
3992|5007729|510|85122099|20|ES|N||2025-10-27 19:11:01|
3992|5007729|510|82060001|7|UM|O||2025-10-27 19:11:01|
3992|5007735|510|73181599|6|EC|1||2025-10-27 13:10:04|
3992|5007420|510|84842001|16|UM|O||2025-10-16 18:31:04|
3992|5007370|510|85122099|23|ES|N||2025-10-16 19:47:10|
